************************************************
*    Row   * EventNumb * RunNumber *      lumi *
************************************************
*     4537 *    299849 *         1 *      1500 *
*     5328 *    301657 *         1 *      1509 *
*     9025 *  35327452 *         1 *    176638 *
*    11012 *  15498597 *         1 *     77493 *
*    11653 *  20487161 *         1 *    102436 *
*    12258 *  26718783 *         1 *    133594 *
*    14401 *   1234274 *         1 *      6172 *
*    23078 *  24677394 *         1 *    123387 *
*    26892 *  26705434 *         1 *    133528 *
*    28429 *  26738580 *         1 *    133693 *
*    30639 *  27842059 *         1 *    139211 *
*    33345 *  60411663 *         1 *    302059 *
*    38306 * 135237426 *         1 *    676188 *
*    42549 *  24905273 *         1 *    124527 *
*    44103 *  26276742 *         1 *    131384 *
*    46680 *  26697596 *         1 *    133488 *
*    50673 *  28453206 *         1 *    142267 *
*    51233 *  28311998 *         1 *    141560 *
*    54207 *  68406077 *         1 *    342031 *
*    71270 *  31413951 *         1 *    157070 *
*    73156 *  34256843 *         1 *    171285 *
*    74999 *  38663568 *         1 *    193318 *
************************************************
