************************************************
*    Row   * EventNumb * RunNumber *      lumi *
************************************************
*     3457 *    293036 *         1 *      1466 *
*     7682 *    315757 *         1 *      1579 *
*    13841 *   1209440 *         1 *      6048 *
*    18830 *  38228694 *         1 *    191144 *
*    19330 * 162559840 *         1 *    812800 *
*    19845 * 172363982 *         1 *    861820 *
*    22573 *  24676691 *         1 *    123384 *
*    28624 *  26754113 *         1 *    133771 *
*    38883 * 139936569 *         1 *    699683 *
*    41731 *  24906972 *         1 *    124535 *
*    50362 *  28241164 *         1 *    141206 *
*    50753 *  28453367 *         1 *    142267 *
*    57753 *  28935392 *         1 *    144677 *
*    59722 *  29014092 *         1 *    145071 *
*    60860 *  29063846 *         1 *    145320 *
*    63300 *  29103505 *         1 *    145518 *
*    64373 *  29135126 *         1 *    145676 *
*    68768 *  29173512 *         1 *    145868 *
*    71533 *  31415584 *         1 *    157078 *
************************************************
