************************************************
*    Row   * EventNumb * RunNumber *      lumi *
************************************************
*       58 *     62346 *         1 *       312 *
*      159 *     62586 *         1 *       313 *
*      504 *    210786 *         1 *      1054 *
*      938 *   1700454 *         1 *      8503 *
*      987 *   1700564 *         1 *      8503 *
*     1833 *    289120 *         1 *      1446 *
*     2151 *    293357 *         1 *      1467 *
*     3363 *    292763 *         1 *      1464 *
*     4603 *    300613 *         1 *      1504 *
*     4933 *    300283 *         1 *      1502 *
*     4973 *    300384 *         1 *      1502 *
*     5291 *    301570 *         1 *      1508 *
*     7466 *    309643 *         1 *      1549 *
*     7862 *   8670990 *         1 *     43355 *
*     7972 *   8726269 *         1 *     43632 *
*     8569 *  16621127 *         1 *     83106 *
*     8651 *  16621735 *         1 *     83109 *
*    10732 *  43002261 *         1 *    215012 *
*    10946 *  15498418 *         1 *     77493 *
*    10961 *  15498470 *         1 *     77493 *
*    11426 * 108531212 *         1 *    542657 *
*    11525 * 108561058 *         1 *    542806 *
*    11616 *  20487077 *         1 *    102436 *
*    11661 *  20487183 *         1 *    102436 *
*    11694 *  26207474 *         1 *    131038 *
*    12576 *    422150 *         1 *      2111 *
*    12817 *    612976 *         1 *      3065 *
*    13792 *   1205504 *         1 *      6028 *
*    13918 *   1239465 *         1 *      6198 *
*    14946 *   1238547 *         1 *      6193 *
*    15819 *  67605124 *         1 *    338026 *
*    16122 *  68019708 *         1 *    340099 *
*    16605 *  98738317 *         1 *    493692 *
*    16827 *  98738862 *         1 *    493695 *
*    17682 * 102842219 *         1 *    514212 *
*    17697 * 102842262 *         1 *    514212 *
*    17813 * 102843974 *         1 *    514220 *
*    17975 * 107645571 *         1 *    538228 *
*    18986 *  38257916 *         1 *    191290 *
*    19364 * 162559915 *         1 *    812800 *
*    20703 * 174702074 *         1 *    873511 *
*    21328 * 177190380 *         1 *    885952 *
*    21384 * 177191534 *         1 *    885958 *
*    21928 * 194709882 *         1 *    973550 *
*    22386 *  24675839 *         1 *    123380 *
*    22558 *  24676658 *         1 *    123384 *
*    23288 *  24679730 *         1 *    123399 *
*    23547 *  24687764 *         1 *    123439 *
*    24320 *  24689800 *         1 *    123449 *
*    24847 *  26684745 *         1 *    133424 *
*    25628 *  26696136 *         1 *    133481 *
*    25896 *  26702284 *         1 *    133512 *
*    26210 *  26706488 *         1 *    133533 *
*    27136 *  26738242 *         1 *    133692 *
*    27387 *  28902918 *         1 *    144515 *
*    27603 *  26736880 *         1 *    133685 *
*    29861 *  26753356 *         1 *    133767 *
*    30407 *  26767829 *         1 *    133840 *
*    30651 *  27842087 *         1 *    139211 *
*    30880 *  35667295 *         1 *    178337 *
*    31674 *  41968253 *         1 *    209842 *
*    32122 *  55480820 *         1 *    277405 *
*    32221 *  55481253 *         1 *    277407 *
*    34175 *  62695950 *         1 *    313480 *
*    34225 *  62701309 *         1 *    313507 *
*    36082 *  97362935 *         1 *    486815 *
*    36438 *  99333231 *         1 *    496667 *
*    36644 * 106605363 *         1 *    533027 *
*    38451 * 135750430 *         1 *    678753 *
*    38625 * 139801477 *         1 *    699008 *
*    39157 * 168167107 *         1 *    840836 *
*    40077 * 149860195 *         1 *    749301 *
*    42365 *  24892738 *         1 *    124464 *
*    42599 *  24906424 *         1 *    124533 *
*    42812 *  24906202 *         1 *    124532 *
*    42909 *  24907283 *         1 *    124537 *
*    42983 *  24906076 *         1 *    124531 *
*    43073 *  24907096 *         1 *    124536 *
*    43378 *  24908688 *         1 *    124544 *
*    43631 *  25895742 *         1 *    129479 *
*    43975 *  26276406 *         1 *    131383 *
*    44245 *  26284080 *         1 *    131421 *
*    44278 *  26284168 *         1 *    131421 *
*    46410 *  26698815 *         1 *    133495 *
*    47269 *  26729392 *         1 *    133647 *
*    47758 *  28168252 *         1 *    140842 *
*    48401 *  28169938 *         1 *    140850 *
*    48420 *  28169980 *         1 *    140850 *
*    48686 *  28216237 *         1 *    141082 *
*    48827 *  28217185 *         1 *    141086 *
*    49287 *  28225750 *         1 *    141129 *
*    49394 *  28226201 *         1 *    141132 *
*    49616 *  28227695 *         1 *    141139 *
*    50239 *  28242446 *         1 *    141213 *
*    50916 *  28454364 *         1 *    142272 *
*    51259 *  28501064 *         1 *    142506 *
*    51711 *  28811047 *         1 *    144056 *
*    53139 *  28814980 *         1 *    144075 *
*    53182 *  28865101 *         1 *    144326 *
*    53368 *  28867373 *         1 *    144337 *
*    53579 *  28866909 *         1 *    144335 *
*    55348 *  76066358 *         1 *    380332 *
*    55625 *  76998688 *         1 *    384994 *
*    56352 * 157299928 *         1 *    786500 *
*    56590 *  90139955 *         1 *    450700 *
*    57021 * 101406067 *         1 *    507031 *
*    58469 *  28999563 *         1 *    144998 *
*    58959 *  29008164 *         1 *    145041 *
*    59428 *  29010963 *         1 *    145055 *
*    60507 *  29061131 *         1 *    145306 *
*    60751 *  29063386 *         1 *    145317 *
*    60765 *  29063628 *         1 *    145319 *
*    62144 *  29084591 *         1 *    145423 *
*    62173 *  29090046 *         1 *    145451 *
*    63325 *  29103566 *         1 *    145518 *
*    63537 *  29115703 *         1 *    145579 *
*    63669 *  29116618 *         1 *    145584 *
*    64659 *  29139589 *         1 *    145698 *
*    64676 *  29141045 *         1 *    145706 *
*    65010 *  29142446 *         1 *    145713 *
*    66347 *  29145968 *         1 *    145730 *
*    67661 *  29170891 *         1 *    145855 *
*    67667 *  29170919 *         1 *    145855 *
*    70171 *  30856155 *         1 *    154281 *
*    70748 * 146308047 *         1 *    731541 *
*    71010 * 126675140 *         1 *    633376 *
*    71547 *  31415611 *         1 *    157079 *
*    72377 *  31441745 *         1 *    157209 *
*    73285 *  38269575 *         1 *    191348 *
*    73840 *  36246944 *         1 *    181235 *
*    74800 *  38640053 *         1 *    193201 *
*    75196 * 121310354 *         1 *    606552 *
*    76043 *  44225741 *         1 *    221129 *
*    76111 *  44226332 *         1 *    221132 *
*    76681 *  29633172 *         1 *    148166 *
*    77180 *  30010708 *         1 *    150054 *
*    77401 *  30011659 *         1 *    150059 *
************************************************
