************************************************
*    Row   * EventNumb * RunNumber *      lumi *
************************************************
*     1048 *   1700708 *         1 *      8504 *
*     1493 *     70260 *         1 *       352 *
*     1595 *    288315 *         1 *      1442 *
*     1892 *    289274 *         1 *      1447 *
*     2662 *    292047 *         1 *      1461 *
*     2748 *    292863 *         1 *      1465 *
*     3055 *    294348 *         1 *      1472 *
*     3457 *    293036 *         1 *      1466 *
*     4019 *    296491 *         1 *      1483 *
*     4670 *    300774 *         1 *      1504 *
*     5024 *    300894 *         1 *      1505 *
*     5108 *    301087 *         1 *      1506 *
*     5159 *    301233 *         1 *      1507 *
*     5391 *    301794 *         1 *      1509 *
*     5568 *    303440 *         1 *      1518 *
*     5684 *    301962 *         1 *      1510 *
*     5818 *    302525 *         1 *      1513 *
*     5950 *    304058 *         1 *      1521 *
*     6251 *    308181 *         1 *      1541 *
*     7480 *    309675 *         1 *      1549 *
*     7682 *    315757 *         1 *      1579 *
*     7918 *   8726126 *         1 *     43631 *
*     8946 *  17510471 *         1 *     87553 *
*     9201 * 106892683 *         1 *    534464 *
*     9780 *   9939577 *         1 *     49698 *
*    10244 *   9954377 *         1 *     49772 *
*    10768 *  43002359 *         1 *    215012 *
*    11623 *  20487092 *         1 *    102436 *
*    11827 *  26683065 *         1 *    133416 *
*    12089 *  26725784 *         1 *    133629 *
*    12385 *    420278 *         1 *      2102 *
*    12386 *    420281 *         1 *      2102 *
*    13429 *   1202607 *         1 *      6014 *
*    13841 *   1209440 *         1 *      6048 *
*    14107 *   1236738 *         1 *      6184 *
*    14254 *   1237925 *         1 *      6190 *
*    14468 *   1232663 *         1 *      6164 *
*    14921 *   1238485 *         1 *      6193 *
*    15124 *   1385584 *         1 *      6928 *
*    15867 *  67608438 *         1 *    338043 *
*    15877 *  67608459 *         1 *    338043 *
*    15879 *  67608463 *         1 *    338043 *
*    16097 *  68019619 *         1 *    340099 *
*    17363 * 102805628 *         1 *    514029 *
*    17610 * 102841822 *         1 *    514210 *
*    18049 * 107646165 *         1 *    538231 *
*    18544 * 170218388 *         1 *    851092 *
*    18758 * 144006155 *         1 *    720031 *
*    18830 *  38228694 *         1 *    191144 *
*    19247 * 160719611 *         1 *    803599 *
*    19330 * 162559840 *         1 *    812800 *
*    19845 * 172363982 *         1 *    861820 *
*    19937 * 174297055 *         1 *    871486 *
*    20080 * 174298407 *         1 *    871493 *
*    20918 * 175427203 *         1 *    877137 *
*    21337 * 177190399 *         1 *    885952 *
*    21760 * 194709060 *         1 *    973546 *
*    21953 * 194709944 *         1 *    973550 *
*    21992 * 194710052 *         1 *    973551 *
*    22573 *  24676691 *         1 *    123384 *
*    22868 *  24678418 *         1 *    123393 *
*    23170 *  24679242 *         1 *    123397 *
*    23506 *  24687685 *         1 *    123439 *
*    24673 *  26525914 *         1 *    132630 *
*    25933 *  26702376 *         1 *    133512 *
*    26347 *  26700678 *         1 *    133504 *
*    26590 *  29010089 *         1 *    145051 *
*    26649 *  26703233 *         1 *    133517 *
*    27167 *  26738325 *         1 *    133692 *
*    27662 *  26736998 *         1 *    133685 *
*    28061 *  26739678 *         1 *    133699 *
*    28601 *  26754066 *         1 *    133771 *
*    28624 *  26754113 *         1 *    133771 *
*    28978 *  26766418 *         1 *    133833 *
*    29064 *  26750233 *         1 *    133752 *
*    30947 *  35667847 *         1 *    178340 *
*    32206 *  55481228 *         1 *    277407 *
*    32435 *  55897797 *         1 *    279489 *
*    32996 *  88497779 *         1 *    442489 *
*    34806 *  65145070 *         1 *    325726 *
*    35882 *  61763850 *         1 *    308820 *
*    36083 *  97362936 *         1 *    486815 *
*    36234 *  97736486 *         1 *    488683 *
*    36241 *  97736499 *         1 *    488683 *
*    37123 * 106827387 *         1 *    534137 *
*    37207 * 125833599 *         1 *    629168 *
*    38001 * 135037511 *         1 *    675188 *
*    38098 * 135039149 *         1 *    675196 *
*    38808 * 139801956 *         1 *    699010 *
*    38883 * 139936569 *         1 *    699683 *
*    39165 * 168167132 *         1 *    840836 *
*    39432 * 143612207 *         1 *    718062 *
*    40013 * 149860035 *         1 *    749301 *
*    40159 * 149860413 *         1 *    749303 *
*    41458 *  24755123 *         1 *    123776 *
*    41530 *  24890703 *         1 *    124454 *
*    41731 *  24906972 *         1 *    124535 *
*    41849 *  24892056 *         1 *    124461 *
*    42587 *  24905390 *         1 *    124527 *
*    43461 *  24909498 *         1 *    124548 *
*    43467 *  24909511 *         1 *    124548 *
*    44298 *  26284241 *         1 *    131422 *
*    44499 *  26686551 *         1 *    133433 *
*    45504 *  26693288 *         1 *    133467 *
*    45943 *  26694026 *         1 *    133471 *
*    46099 *  26697808 *         1 *    133490 *
*    47446 *  28165625 *         1 *    140829 *
*    48338 *  28169790 *         1 *    140849 *
*    48702 *  28216282 *         1 *    141082 *
*    49422 *  28226249 *         1 *    141132 *
*    50010 *  28240463 *         1 *    141203 *
*    50362 *  28241164 *         1 *    141206 *
*    50753 *  28453367 *         1 *    142267 *
*    52515 *  28871133 *         1 *    144356 *
*    53581 *  28866918 *         1 *    144335 *
*    53788 *  28460460 *         1 *    142303 *
*    54168 *  68405769 *         1 *    342029 *
*    54830 *  75203484 *         1 *    376018 *
*    55231 *  76066069 *         1 *    380331 *
*    55758 *  78049604 *         1 *    390249 *
*    56912 *  92518997 *         1 *    462595 *
*    57224 * 101406987 *         1 *    507035 *
*    57282 * 101407157 *         1 *    507036 *
*    57753 *  28935392 *         1 *    144677 *
*    57836 *  28922013 *         1 *    144611 *
*    57858 *  28922056 *         1 *    144611 *
*    58774 *  29006914 *         1 *    145035 *
*    59554 *  29011661 *         1 *    145059 *
*    59569 *  29011690 *         1 *    145059 *
*    59685 *  29012395 *         1 *    145062 *
*    59722 *  29014092 *         1 *    145071 *
*    60030 *  29055692 *         1 *    145279 *
*    60399 *  29060823 *         1 *    145305 *
*    60860 *  29063846 *         1 *    145320 *
*    61543 *  29083060 *         1 *    145416 *
*    61584 *  29083189 *         1 *    145416 *
*    61896 *  29083387 *         1 *    145417 *
*    62458 *  29091780 *         1 *    145459 *
*    62621 *  29093424 *         1 *    145468 *
*    63035 *  29100063 *         1 *    145501 *
*    63100 *  29100415 *         1 *    145503 *
*    63124 *  29100479 *         1 *    145503 *
*    63300 *  29103505 *         1 *    145518 *
*    63387 *  29104143 *         1 *    145521 *
*    64373 *  29135126 *         1 *    145676 *
*    65192 *  29140303 *         1 *    145702 *
*    65422 *  29141675 *         1 *    145709 *
*    66828 *  29147380 *         1 *    145737 *
*    67149 *  29147755 *         1 *    145739 *
*    67504 *  29149661 *         1 *    145749 *
*    68271 *  29172525 *         1 *    145863 *
*    68545 *  29172770 *         1 *    145864 *
*    68674 *  29173285 *         1 *    145867 *
*    68768 *  29173512 *         1 *    145868 *
*    69313 *  29476033 *         1 *    147381 *
*    69329 *  29476083 *         1 *    147381 *
*    69490 *  29476695 *         1 *    147384 *
*    70733 * 146307193 *         1 *    731536 *
*    71094 *  31365346 *         1 *    156827 *
*    71243 *  31413881 *         1 *    157070 *
*    71442 *  31415357 *         1 *    157077 *
*    71533 *  31415584 *         1 *    157078 *
*    72359 *  31441698 *         1 *    157209 *
*    73122 *  31488962 *         1 *    157445 *
*    73232 *  38269436 *         1 *    191348 *
*    74351 *  37915472 *         1 *    189578 *
*    74425 *  37915873 *         1 *    189580 *
*    75587 *  39260193 *         1 *    196301 *
*    75714 *  39260727 *         1 *    196304 *
*    76270 *  29513117 *         1 *    147566 *
*    77221 *  30010817 *         1 *    150055 *
*    77520 *  30012209 *         1 *    150062 *
************************************************
