************************************************
*    Row   * EventNumb * RunNumber *      lumi *
************************************************
*     1048 *   1700708 *         1 *      8504 *
*     1823 *    289095 *         1 *      1446 *
*     2662 *    292047 *         1 *      1461 *
*     2748 *    292863 *         1 *      1465 *
*     3055 *    294348 *         1 *      1472 *
*     4019 *    296491 *         1 *      1483 *
*     5108 *    301087 *         1 *      1506 *
*     5159 *    301233 *         1 *      1507 *
*     5391 *    301794 *         1 *      1509 *
*     5818 *    302525 *         1 *      1513 *
*     6251 *    308181 *         1 *      1541 *
*     6638 *    307407 *         1 *      1538 *
*     7682 *    315757 *         1 *      1579 *
*     7918 *   8726126 *         1 *     43631 *
*     8946 *  17510471 *         1 *     87553 *
*     9780 *   9939577 *         1 *     49698 *
*    10244 *   9954377 *         1 *     49772 *
*    11827 *  26683065 *         1 *    133416 *
*    12554 *    422096 *         1 *      2111 *
*    14254 *   1237925 *         1 *      6190 *
*    14921 *   1238485 *         1 *      6193 *
*    15124 *   1385584 *         1 *      6928 *
*    15879 *  67608463 *         1 *    338043 *
*    16097 *  68019619 *         1 *    340099 *
*    16641 *  98738418 *         1 *    493693 *
*    17610 * 102841822 *         1 *    514210 *
*    19247 * 160719611 *         1 *    803599 *
*    19330 * 162559840 *         1 *    812800 *
*    19845 * 172363982 *         1 *    861820 *
*    19937 * 174297055 *         1 *    871486 *
*    21337 * 177190399 *         1 *    885952 *
*    21760 * 194709060 *         1 *    973546 *
*    21992 * 194710052 *         1 *    973551 *
*    23170 *  24679242 *         1 *    123397 *
*    23506 *  24687685 *         1 *    123439 *
*    24673 *  26525914 *         1 *    132630 *
*    25933 *  26702376 *         1 *    133512 *
*    26590 *  29010089 *         1 *    145051 *
*    26649 *  26703233 *         1 *    133517 *
*    27167 *  26738325 *         1 *    133692 *
*    28061 *  26739678 *         1 *    133699 *
*    28978 *  26766418 *         1 *    133833 *
*    29064 *  26750233 *         1 *    133752 *
*    30507 *  26768515 *         1 *    133843 *
*    32206 *  55481228 *         1 *    277407 *
*    33779 *  60501297 *         1 *    302507 *
*    34806 *  65145070 *         1 *    325726 *
*    36234 *  97736486 *         1 *    488683 *
*    36241 *  97736499 *         1 *    488683 *
*    37123 * 106827387 *         1 *    534137 *
*    37207 * 125833599 *         1 *    629168 *
*    38001 * 135037511 *         1 *    675188 *
*    38808 * 139801956 *         1 *    699010 *
*    39165 * 168167132 *         1 *    840836 *
*    40013 * 149860035 *         1 *    749301 *
*    41458 *  24755123 *         1 *    123776 *
*    41530 *  24890703 *         1 *    124454 *
*    42996 *  24906111 *         1 *    124531 *
*    43467 *  24909511 *         1 *    124548 *
*    44298 *  26284241 *         1 *    131422 *
*    45455 *  26690371 *         1 *    133452 *
*    45943 *  26694026 *         1 *    133471 *
*    46099 *  26697808 *         1 *    133490 *
*    47446 *  28165625 *         1 *    140829 *
*    48338 *  28169790 *         1 *    140849 *
*    49422 *  28226249 *         1 *    141132 *
*    50362 *  28241164 *         1 *    141206 *
*    50753 *  28453367 *         1 *    142267 *
*    52480 *  28871055 *         1 *    144356 *
*    53581 *  28866918 *         1 *    144335 *
*    54830 *  75203484 *         1 *    376018 *
*    55758 *  78049604 *         1 *    390249 *
*    56912 *  92518997 *         1 *    462595 *
*    57224 * 101406987 *         1 *    507035 *
*    57858 *  28922056 *         1 *    144611 *
*    59569 *  29011690 *         1 *    145059 *
*    59722 *  29014092 *         1 *    145071 *
*    60860 *  29063846 *         1 *    145320 *
*    61543 *  29083060 *         1 *    145416 *
*    61896 *  29083387 *         1 *    145417 *
*    62458 *  29091780 *         1 *    145459 *
*    63124 *  29100479 *         1 *    145503 *
*    63387 *  29104143 *         1 *    145521 *
*    65192 *  29140303 *         1 *    145702 *
*    65769 *  29143363 *         1 *    145717 *
*    67504 *  29149661 *         1 *    145749 *
*    68271 *  29172525 *         1 *    145863 *
*    68545 *  29172770 *         1 *    145864 *
*    69313 *  29476033 *         1 *    147381 *
*    69329 *  29476083 *         1 *    147381 *
*    71094 *  31365346 *         1 *    156827 *
*    72359 *  31441698 *         1 *    157209 *
*    73232 *  38269436 *         1 *    191348 *
*    74351 *  37915472 *         1 *    189578 *
*    75714 *  39260727 *         1 *    196304 *
*    76270 *  29513117 *         1 *    147566 *
*    77914 *  30013627 *         1 *    150069 *
************************************************
