************************************************
*    Row   * EventNumb * RunNumber *      lumi *
************************************************
*      365 *    210371 *         1 *      1052 *
*      512 *    210805 *         1 *      1055 *
*     1493 *     70260 *         1 *       352 *
*     1595 *    288315 *         1 *      1442 *
*     1892 *    289274 *         1 *      1447 *
*     2263 *    289632 *         1 *      1449 *
*     2320 *    289787 *         1 *      1449 *
*     2602 *    291713 *         1 *      1459 *
*     2744 *    292858 *         1 *      1465 *
*     4537 *    299849 *         1 *      1500 *
*     4578 *    299954 *         1 *      1500 *
*     4670 *    300774 *         1 *      1504 *
*     5015 *    300879 *         1 *      1505 *
*     5024 *    300894 *         1 *      1505 *
*     5568 *    303440 *         1 *      1518 *
*     5882 *    302677 *         1 *      1514 *
*     5950 *    304058 *         1 *      1521 *
*     7277 *    309925 *         1 *      1550 *
*     7480 *    309675 *         1 *      1549 *
*     7843 *   8670954 *         1 *     43355 *
*     8216 *  16270678 *         1 *     81354 *
*     9025 *  35327452 *         1 *    176638 *
*     9201 * 106892683 *         1 *    534464 *
*    10463 *  12686726 *         1 *     63434 *
*    10768 *  43002359 *         1 *    215012 *
*    11265 *  19912637 *         1 *     99564 *
*    11509 * 108561024 *         1 *    542806 *
*    11623 *  20487092 *         1 *    102436 *
*    12089 *  26725784 *         1 *    133629 *
*    12216 *  26718685 *         1 *    133594 *
*    12229 *  26718715 *         1 *    133594 *
*    12258 *  26718783 *         1 *    133594 *
*    12385 *    420278 *         1 *      2102 *
*    12386 *    420281 *         1 *      2102 *
*    12476 *    421295 *         1 *      2107 *
*    13124 *   1194783 *         1 *      5974 *
*    13429 *   1202607 *         1 *      6014 *
*    13841 *   1209440 *         1 *      6048 *
*    14401 *   1234274 *         1 *      6172 *
*    14468 *   1232663 *         1 *      6164 *
*    14628 *   1234096 *         1 *      6171 *
*    15867 *  67608438 *         1 *    338043 *
*    15877 *  67608459 *         1 *    338043 *
*    15981 *  68018913 *         1 *    340095 *
*    17359 * 102805613 *         1 *    514029 *
*    17363 * 102805628 *         1 *    514029 *
*    17541 * 102806853 *         1 *    514035 *
*    18049 * 107646165 *         1 *    538231 *
*    18162 * 170218425 *         1 *    851093 *
*    18544 * 170218388 *         1 *    851092 *
*    18707 * 144006016 *         1 *    720031 *
*    18758 * 144006155 *         1 *    720031 *
*    18830 *  38228694 *         1 *    191144 *
*    19787 * 172363803 *         1 *    861820 *
*    20048 * 174297332 *         1 *    871487 *
*    20080 * 174298407 *         1 *    871493 *
*    20586 * 174701381 *         1 *    873507 *
*    20799 * 174704083 *         1 *    873521 *
*    20918 * 175427203 *         1 *    877137 *
*    21953 * 194709944 *         1 *    973550 *
*    22573 *  24676691 *         1 *    123384 *
*    22743 *  24677115 *         1 *    123386 *
*    22868 *  24678418 *         1 *    123393 *
*    23078 *  24677394 *         1 *    123387 *
*    23310 *  24679783 *         1 *    123399 *
*    23875 *  24686262 *         1 *    123432 *
*    24587 *  26525295 *         1 *    132627 *
*    24894 *  26685257 *         1 *    133427 *
*    25252 *  26688990 *         1 *    133445 *
*    25729 *  26695820 *         1 *    133480 *
*    25791 *  26696803 *         1 *    133485 *
*    25852 *  26696975 *         1 *    133485 *
*    26892 *  26705434 *         1 *    133528 *
*    26909 *  26705482 *         1 *    133528 *
*    27373 *  28902893 *         1 *    144515 *
*    27662 *  26736998 *         1 *    133685 *
*    28269 *  26729427 *         1 *    133648 *
*    28373 *  26738462 *         1 *    133693 *
*    28429 *  26738580 *         1 *    133693 *
*    28624 *  26754113 *         1 *    133771 *
*    28627 *  26754121 *         1 *    133771 *
*    28654 *  26765001 *         1 *    133826 *
*    29215 *  26753816 *         1 *    133770 *
*    29296 *  26765421 *         1 *    133828 *
*    29992 *  26751311 *         1 *    133757 *
*    30036 *  26752038 *         1 *    133761 *
*    30134 *  28811508 *         1 *    144058 *
*    30518 *  26768541 *         1 *    133843 *
*    30639 *  27842059 *         1 *    139211 *
*    30921 *  35667395 *         1 *    178337 *
*    31760 *  41968484 *         1 *    209843 *
*    31763 *  41968492 *         1 *    209843 *
*    32435 *  55897797 *         1 *    279489 *
*    32784 *  56719628 *         1 *    283599 *
*    32798 *  56719670 *         1 *    283599 *
*    32996 *  88497779 *         1 *    442489 *
*    33345 *  60411663 *         1 *    302059 *
*    33595 *  60719461 *         1 *    303598 *
*    33623 *  60719528 *         1 *    303598 *
*    35676 *  61762510 *         1 *    308813 *
*    35882 *  61763850 *         1 *    308820 *
*    36083 *  97362936 *         1 *    486815 *
*    36299 *  99332861 *         1 *    496665 *
*    36905 * 106825220 *         1 *    534127 *
*    36924 * 106825275 *         1 *    534127 *
*    37009 * 106827115 *         1 *    534136 *
*    37667 * 118762815 *         1 *    593815 *
*    38098 * 135039149 *         1 *    675196 *
*    38306 * 135237426 *         1 *    676188 *
*    38720 * 139801720 *         1 *    699009 *
*    38883 * 139936569 *         1 *    699683 *
*    38937 * 139936688 *         1 *    699684 *
*    39432 * 143612207 *         1 *    718062 *
*    40159 * 149860413 *         1 *    749303 *
*    41731 *  24906972 *         1 *    124535 *
*    41849 *  24892056 *         1 *    124461 *
*    41933 *  24893479 *         1 *    124468 *
*    41980 *  24906606 *         1 *    124534 *
*    42121 *  24908551 *         1 *    124543 *
*    42257 *  24892471 *         1 *    124463 *
*    42549 *  24905273 *         1 *    124527 *
*    42587 *  24905390 *         1 *    124527 *
*    42661 *  24905003 *         1 *    124526 *
*    43461 *  24909498 *         1 *    124548 *
*    43524 *  25895473 *         1 *    129478 *
*    44103 *  26276742 *         1 *    131384 *
*    44499 *  26686551 *         1 *    133433 *
*    45504 *  26693288 *         1 *    133467 *
*    45604 *  26700538 *         1 *    133503 *
*    45661 *  26693642 *         1 *    133469 *
*    46244 *  26702012 *         1 *    133511 *
*    46958 *  26727585 *         1 *    133638 *
*    49312 *  28225810 *         1 *    141130 *
*    50010 *  28240463 *         1 *    141203 *
*    50035 *  28240533 *         1 *    141203 *
*    50084 *  28241463 *         1 *    141208 *
*    50360 *  28241160 *         1 *    141206 *
*    50673 *  28453206 *         1 *    142267 *
*    50832 *  28453949 *         1 *    142270 *
*    50962 *  28242898 *         1 *    141215 *
*    51233 *  28311998 *         1 *    141560 *
*    52515 *  28871133 *         1 *    144356 *
*    53615 *  28867008 *         1 *    144336 *
*    53788 *  28460460 *         1 *    142303 *
*    54168 *  68405769 *         1 *    342029 *
*    54207 *  68406077 *         1 *    342031 *
*    54617 * 143922160 *         1 *    719611 *
*    54824 *  75203476 *         1 *    376018 *
*    55231 *  76066069 *         1 *    380331 *
*    55607 *  76998635 *         1 *    384994 *
*    56135 *  87898337 *         1 *    439492 *
*    57282 * 101407157 *         1 *    507036 *
*    57753 *  28935392 *         1 *    144677 *
*    57836 *  28922013 *         1 *    144611 *
*    58774 *  29006914 *         1 *    145035 *
*    58796 *  29006978 *         1 *    145035 *
*    59145 *  29020463 *         1 *    145103 *
*    59554 *  29011661 *         1 *    145059 *
*    60399 *  29060823 *         1 *    145305 *
*    61584 *  29083189 *         1 *    145416 *
*    62076 *  29084442 *         1 *    145423 *
*    63035 *  29100063 *         1 *    145501 *
*    63100 *  29100415 *         1 *    145503 *
*    63547 *  29115723 *         1 *    145579 *
*    63903 *  29117261 *         1 *    145587 *
*    64373 *  29135126 *         1 *    145676 *
*    65187 *  29140292 *         1 *    145702 *
*    65422 *  29141675 *         1 *    145709 *
