************************************************
*    Row   * EventNumb * RunNumber *      lumi *
************************************************
*        3 *     62206 *         1 *       312 *
*      118 *     62473 *         1 *       313 *
*      180 *     64468 *         1 *       323 *
*      349 *    210327 *         1 *      1052 *
*      411 *    210490 *         1 *      1053 *
*      521 *    210843 *         1 *      1055 *
*      548 *    210911 *         1 *      1055 *
*      610 *   1055086 *         1 *      5276 *
*      678 *   1059645 *         1 *      5299 *
*      777 *   1706081 *         1 *      8531 *
*      859 *   1700272 *         1 *      8502 *
*     1156 *   1700993 *         1 *      8505 *
*     1194 *   1701902 *         1 *      8510 *
*     1206 *   1701936 *         1 *      8510 *
*     1372 *   1702381 *         1 *      8512 *
*     1373 *   1702385 *         1 *      8512 *
*     1403 *   1705645 *         1 *      8529 *
*     1422 *   1705678 *         1 *      8529 *
*     1448 *   1705734 *         1 *      8529 *
*     1505 *     70292 *         1 *       352 *
*     1662 *    288674 *         1 *      1444 *
*     1827 *    289104 *         1 *      1446 *
*     1850 *    289180 *         1 *      1446 *
*     1868 *    289231 *         1 *      1447 *
*     1965 *    290675 *         1 *      1454 *
*     2022 *    291228 *         1 *      1457 *
*     2061 *    291317 *         1 *      1457 *
*     2070 *    291347 *         1 *      1457 *
*     2085 *    291385 *         1 *      1457 *
*     2104 *    293232 *         1 *      1467 *
*     2123 *    293274 *         1 *      1467 *
*     2157 *    293374 *         1 *      1467 *
*     2194 *    289467 *         1 *      1448 *
*     2256 *    289615 *         1 *      1449 *
*     2290 *    289717 *         1 *      1449 *
*     2337 *    290227 *         1 *      1452 *
*     2349 *    290259 *         1 *      1452 *
*     2352 *    290267 *         1 *      1452 *
*     2379 *    290340 *         1 *      1452 *
*     2397 *    290396 *         1 *      1452 *
*     2487 *    290817 *         1 *      1455 *
*     2493 *    290830 *         1 *      1455 *
*     2503 *    290864 *         1 *      1455 *
*     2603 *    291716 *         1 *      1459 *
*     2741 *    292854 *         1 *      1465 *
*     2768 *    292906 *         1 *      1465 *
*     2811 *    291827 *         1 *      1460 *
*     2899 *    293407 *         1 *      1468 *
*     2923 *    293466 *         1 *      1468 *
*     2969 *    293555 *         1 *      1468 *
*     3072 *    294379 *         1 *      1472 *
*     3094 *    295655 *         1 *      1479 *
*     3103 *    295677 *         1 *      1479 *
*     3322 *    292644 *         1 *      1464 *
*     3424 *    293927 *         1 *      1470 *
*     3678 *    294408 *         1 *      1473 *
*     3708 *    294491 *         1 *      1473 *
*     3783 *    295889 *         1 *      1480 *
*     3890 *    296168 *         1 *      1481 *
*     3954 *    296331 *         1 *      1482 *
*     3994 *    296427 *         1 *      1483 *
*     4229 *    297834 *         1 *      1490 *
*     4235 *    297848 *         1 *      1490 *
*     4283 *    297972 *         1 *      1490 *
*     4301 *    298019 *         1 *      1491 *
*     4320 *    298046 *         1 *      1491 *
*     4437 *    298365 *         1 *      1492 *
*     4477 *    299684 *         1 *      1499 *
*     4485 *    299720 *         1 *      1499 *
*     4550 *    299880 *         1 *      1500 *
*     4556 *    299897 *         1 *      1500 *
*     4558 *    299901 *         1 *      1500 *
*     4613 *    300643 *         1 *      1504 *
*     4633 *    300690 *         1 *      1504 *
*     4637 *    300699 *         1 *      1504 *
*     4688 *    299226 *         1 *      1497 *
*     4763 *    299421 *         1 *      1498 *
*     4896 *    300190 *         1 *      1501 *
*     4991 *    300823 *         1 *      1505 *
*     4993 *    300825 *         1 *      1505 *
*     5048 *    300946 *         1 *      1505 *
*     5314 *    301628 *         1 *      1509 *
*     5420 *    302072 *         1 *      1511 *
*     5467 *    302194 *         1 *      1511 *
*     5799 *    302466 *         1 *      1513 *
*     5921 *    302785 *         1 *      1514 *
*     6001 *    306411 *         1 *      1533 *
*     6212 *    308093 *         1 *      1541 *
*     6245 *    308166 *         1 *      1541 *
*     6316 *    305575 *         1 *      1528 *
*     6403 *    306001 *         1 *      1531 *
*     6503 *    307066 *         1 *      1536 *
*     6568 *    307250 *         1 *      1537 *
*     6587 *    307289 *         1 *      1537 *
*     6615 *    307339 *         1 *      1537 *
*     6723 *    308860 *         1 *      1545 *
*     6726 *    308871 *         1 *      1545 *
*     6834 *    309380 *         1 *      1547 *
*     6871 *    308294 *         1 *      1542 *
*     7048 *    308752 *         1 *      1544 *
*     7210 *    309564 *         1 *      1548 *
*     7263 *    309886 *         1 *      1550 *
*     7279 *    309928 *         1 *      1550 *
*     7298 *    309981 *         1 *      1550 *
*     7300 *    309986 *         1 *      1550 *
*     7598 *    315330 *         1 *      1577 *
*     7673 *    315726 *         1 *      1579 *
*     7768 *    316168 *         1 *      1581 *
*     7912 *   8726107 *         1 *     43631 *
*     7970 *   8726266 *         1 *     43632 *
*     8019 *   8726395 *         1 *     43632 *
*     8223 *  16270691 *         1 *     81354 *
*     8419 *  16276158 *         1 *     81381 *
*     8538 *  16621070 *         1 *     83106 *
*     8547 *  16621084 *         1 *     83106 *
*     8557 *  16621100 *         1 *     83106 *
*     8578 *  16621137 *         1 *     83106 *
*     8592 *  16621178 *         1 *     83106 *
*     8647 *  16621724 *         1 *     83109 *
*     8670 *  16621776 *         1 *     83109 *
*     8788 *  92788893 *         1 *    463945 *
*     8832 *  92788987 *         1 *    463945 *
*     8938 *  17510449 *         1 *     87553 *
*     8958 *  17510499 *         1 *     87553 *
*     8970 *  17510518 *         1 *     87553 *
*     8979 *  17510532 *         1 *     87553 *
*     9036 *  35327482 *         1 *    176638 *
*     9110 * 106863439 *         1 *    534318 *
*     9221 * 106892727 *         1 *    534464 *
*     9257 * 106901009 *         1 *    534506 *
*     9273 * 106901066 *         1 *    534506 *
*     9306 * 106901151 *         1 *    534506 *
*     9408 *   9063002 *         1 *     45316 *
*     9529 *   9063313 *         1 *     45317 *
*     9565 *   9063382 *         1 *     45317 *
*     9571 *   9063398 *         1 *     45317 *
*     9579 *   9064810 *         1 *     45325 *
*     9632 *   9064961 *         1 *     45325 *
*     9666 *   9065255 *         1 *     45327 *
*     9700 *   9065363 *         1 *     45327 *
*     9909 *   9948739 *         1 *     49744 *
*    10259 *   9960018 *         1 *     49801 *
*    10285 *   9960082 *         1 *     49801 *
*    10300 *   9960123 *         1 *     49801 *
*    10372 *  12641497 *         1 *     63208 *
*    10426 *  12686643 *         1 *     63434 *
*    10481 *  12686767 *         1 *     63434 *
*    10556 *  58168815 *         1 *    290845 *
*    10649 *  12870043 *         1 *     64351 *
*    10654 *  12870050 *         1 *     64351 *
*    10877 *  48605237 *         1 *    243027 *
*    10889 *  48605283 *         1 *    243027 *
*    11062 *  17512541 *         1 *     87563 *
*    11143 *  17514137 *         1 *     87571 *
*    11254 *  19912616 *         1 *     99564 *
*    11275 *  19912667 *         1 *     99564 *
*    11310 *  19912731 *         1 *     99564 *
*    11368 *  62220069 *         1 *    311101 *
*    11392 *  62220132 *         1 *    311101 *
*    11396 *  62220142 *         1 *    311101 *
*    11404 *  62220158 *         1 *    311101 *
*    11419 *  62220187 *         1 *    311101 *
*    11510 * 108561026 *         1 *    542806 *
*    11559 * 108561120 *         1 *    542806 *
*    11607 *  20487050 *         1 *    102436 *
*    11637 *  20487129 *         1 *    102436 *
*    11677 *  26207430 *         1 *    131038 *
*    11681 *  26207438 *         1 *    131038 *
*    11815 *  26683025 *         1 *    133416 *
*    11852 *  26683140 *         1 *    133416 *
*    11873 *  26683187 *         1 *    133416 *
*    11916 *  26709510 *         1 *    133548 *
*    12149 *  26718531 *         1 *    133593 *
*    12208 *  26718660 *         1 *    133594 *
*    12284 * 163300066 *         1 *    816501 *
*    12313 * 163300126 *         1 *    816501 *
*    12343 * 163300189 *         1 *    816501 *
*    12524 *    422008 *         1 *      2111 *
*    12658 *    422599 *         1 *      2113 *
*    12774 *    612884 *         1 *      3065 *
*    12919 *    614274 *         1 *      3072 *
*    12924 *    614286 *         1 *      3072 *
*    12930 *    614308 *         1 *      3072 *
*    13055 *    665599 *         1 *      3328 *
*    13188 *   1208766 *         1 *      6044 *
*    13189 *   1208767 *         1 *      6044 *
*    13234 *   1202485 *         1 *      6013 *
*    13365 *   1234633 *         1 *      6174 *
*    13376 *   1234665 *         1 *      6174 *
*    13483 *   1202733 *         1 *      6014 *
*    13490 *   1202746 *         1 *      6014 *
*    13832 *   1209416 *         1 *      6048 *
*    13847 *   1209457 *         1 *      6048 *
*    13982 *   1206618 *         1 *      6034 *
*    14016 *   1206711 *         1 *      6034 *
*    14196 *   1237179 *         1 *      6186 *
*    14291 *   1231616 *         1 *      6159 *
*    14306 *   1231648 *         1 *      6159 *
*    14311 *   1231670 *         1 *      6159 *
*    14461 *   1232641 *         1 *      6164 *
*    14489 *   1232722 *         1 *      6164 *
*    14517 *   1233616 *         1 *      6169 *
*    14680 *   1236836 *         1 *      6185 *
*    15059 *   1385423 *         1 *      6928 *
*    15173 *   1385893 *         1 *      6930 *
*    15244 *   1387066 *         1 *      6936 *
*    15274 *   1387131 *         1 *      6936 *
*    15278 *   1387141 *         1 *      6936 *
*    15293 *   1387169 *         1 *      6936 *
*    15440 *   1387729 *         1 *      6939 *
*    15675 *  67602155 *         1 *    338011 *
*    15997 *  68018953 *         1 *    340095 *
*    16008 *  68018983 *         1 *    340095 *
*    16031 *  68019452 *         1 *    340098 *
*    16168 *  68045608 *         1 *    340229 *
*    16179 *  68045633 *         1 *    340229 *
*    16306 *  68045137 *         1 *    340226 *
*    16320 *  68045166 *         1 *    340226 *
*    16472 *  68045987 *         1 *    340230 *
*    16491 *  68047238 *         1 *    340237 *
*    16526 *  68047339 *         1 *    340237 *
*    16809 *  98738820 *         1 *    493695 *
*    16810 *  98738822 *         1 *    493695 *
*    16826 *  98738861 *         1 *    493695 *
*    16845 *  98738908 *         1 *    493695 *
*    16858 *  98738936 *         1 *    493695 *
*    16908 *  98942650 *         1 *    494714 *
*    16950 *  98942750 *         1 *    494714 *
*    16976 *  98943017 *         1 *    494716 *
*    17028 *  98943114 *         1 *    494716 *
*    17068 *  98943421 *         1 *    494718 *
*    17111 *  98943531 *         1 *    494718 *
*    17217 * 102699639 *         1 *    513499 *
*    17600 * 102806998 *         1 *    514035 *
*    17624 * 102841869 *         1 *    514210 *
*    17847 * 107645251 *         1 *    538227 *
*    17898 * 107645377 *         1 *    538227 *
*    17953 * 107645513 *         1 *    538228 *
*    17970 * 107645556 *         1 *    538228 *
*    18062 * 107646193 *         1 *    538231 *
*    18081 * 107646439 *         1 *    538233 *
*    18305 * 170218797 *         1 *    851094 *
*    18405 * 170218036 *         1 *    851091 *
*    18485 * 170218242 *         1 *    851092 *
*    18636 * 143999807 *         1 *    720000 *
*    18692 * 143999956 *         1 *    720000 *
*    18732 * 144006092 *         1 *    720031 *
*    18754 * 144006146 *         1 *    720031 *
*    18792 *  38228612 *         1 *    191144 *
*    18902 *  38256893 *         1 *    191285 *
*    18953 *  38257824 *         1 *    191290 *
*    18959 *  38257844 *         1 *    191290 *
*    19023 *  38257986 *         1 *    191290 *
*    19075 * 160718127 *         1 *    803591 *
*    19191 * 160719048 *         1 *    803596 *
*    19237 * 160719189 *         1 *    803596 *
*    19262 * 160719656 *         1 *    803599 *
*    19393 * 162559988 *         1 *    812800 *
*    19479 * 162560613 *         1 *    812804 *
*    19481 * 162560617 *         1 *    812804 *
*    19494 * 162560664 *         1 *    812804 *
*    19704 * 172363386 *         1 *    861817 *
*    19734 * 172363472 *         1 *    861818 *
*    19783 * 172363596 *         1 *    861818 *
*    19899 * 172364752 *         1 *    861824 *
*    19910 * 172364780 *         1 *    861824 *
*    19926 * 174297015 *         1 *    871486 *
*    19940 * 174297064 *         1 *    871486 *
*    20103 * 174298474 *         1 *    871493 *
*    20157 * 174299243 *         1 *    871497 *
*    20297 * 174298961 *         1 *    871495 *
*    20334 * 174299643 *         1 *    871499 *
*    20394 * 174300815 *         1 *    871505 *
*    20676 * 174702018 *         1 *    873511 *
*    20744 * 174702177 *         1 *    873511 *
*    20752 * 174702198 *         1 *    873511 *
*    20901 * 175427137 *         1 *    877136 *
*    20936 * 175427247 *         1 *    877137 *
*    21011 * 175427428 *         1 *    877138 *
*    21096 * 177189418 *         1 *    885948 *
*    21134 * 177189508 *         1 *    885948 *
*    21169 * 177189587 *         1 *    885948 *
*    21252 * 177189788 *         1 *    885949 *
*    21301 * 177190317 *         1 *    885952 *
*    21304 * 177190325 *         1 *    885952 *
*    21375 * 177191515 *         1 *    885958 *
